Country,Year,Total_Population_January,Total_Population_July,Male_Population_July,Female_Population_July,Population_Density,Sex_Ratio,MedianAgePop,NatChange,NatChangeRT,PopChange,PopGrowthRate,Population_Doubling_Time,Births,Births1519,Crude_Birth_Rate,TFR,NRR,MAC,SRB,Deaths,DeathsMale,DeathsFemale,Crude_Death_Rate,LEx,LExMale,LExFemale,LE15,LE15Male,LE15Female,LE65,LE65Male,LE65Female,LE80,LE80Male,LE80Female,InfantDeaths,Infant_Mortality_Rate,LBsurvivingAge1,Under5Deaths,Q5,Q0040,Q0040Male,Q0040Female,Mortality_Under_60,Male_Mortality_Under_60,Female_Mortality_Under_60,Mortality_15_50,Male_Mortality_15_50,Female_Mortality_15_50,Mortality_15_60,Male_Mortality_15_60,Female_Mortality_15_60,Net_Migrations,Crude_Net_Migration_Rate
China,2011,1356031.233,1360250.664,696018.306,664232.358,141.6928,104.7854,34.5226,8855.061,6.51,8438.863,0.62,111.7979,17824.404,521.228,13.104,1.6683,0.7502,27.557,116.8,8969.343,5057.058,3912.285,6.594,75.8891,73.3343,78.6496,62.3873,59.8889,65.0679,16.7454,15.1901,18.2766,7.3865,6.511,8.0292,209.515,11.7488,17641.292,260.979,14.6748,41.2867,47.9304,33.9873,116.1003,146.082,84.5462,45.8687,58.3398,32.6878,97.8737,127.1071,67.374,-416.189,-0.306
China,2012,1364470.096,1369520.864,700783.226,668737.638,142.6584,104.792,34.852,10160.392,7.419,10101.537,0.738,93.9224,19246.445,531.82,14.053,1.7984,0.8114,27.636,116.4,9086.053,5133.283,3952.77,6.634,76.2,73.624,78.9814,62.5925,60.0697,65.2986,16.8811,15.3017,18.4391,7.449,6.5603,8.1079,207.198,10.8691,19063.903,255.12,13.5678,39.2672,45.6757,32.2153,112.9777,142.6021,81.7844,44.7174,56.9827,31.7375,96.043,124.9481,65.8549,-58.864,-0.043
China,2013,1374571.633,1379008.04,705638.491,673369.549,143.6467,104.7922,35.1413,9061.768,6.571,8872.815,0.643,107.7989,18297.106,491.285,13.268,1.714,0.7757,27.789,116.0,9235.338,5214.061,4021.277,6.697,76.4521,73.8809,79.2226,62.7473,60.2256,65.448,16.9769,15.3928,18.5393,7.4857,6.6,8.1468,185.395,10.0664,18136.684,230.488,12.5635,37.4797,43.6106,30.7229,110.3257,139.4028,79.6974,43.7473,55.7233,31.0583,94.5752,122.9741,64.8871,-188.951,-0.137
China,2014,1383444.448,1387951.972,710181.238,677770.734,144.5783,104.7819,35.4106,9386.154,6.762,9015.048,0.65,106.638,18769.423,479.331,13.523,1.7694,0.8037,27.896,115.5,9383.269,5308.917,4074.352,6.761,76.7143,74.1188,79.5104,62.9203,60.3713,65.6506,17.0824,15.4671,18.6774,7.5357,6.6354,8.214,174.526,9.33,18617.161,216.89,11.643,35.7877,41.7265,29.2312,107.6068,136.3697,77.2882,42.7009,54.4808,30.2011,92.945,121.0575,63.5207,-371.108,-0.267
China,2015,1392459.496,1396134.174,714291.69,681842.484,145.4306,104.759,35.6902,7996.3,5.728,7349.355,0.526,131.777,17518.179,423.387,12.548,1.6696,0.7609,28.081,115.0,9521.879,5393.546,4128.333,6.82,76.9755,74.3646,79.7847,63.0959,60.528,65.8444,17.2068,15.564,18.827,7.5872,6.6755,8.2778,152.993,8.6533,17386.583,192.466,10.7953,34.1488,39.8726,27.819,104.8937,133.272,74.9689,41.6178,53.1513,29.3604,91.2784,119.0459,62.1876,-646.941,-0.463
China,2016,1399808.851,1404052.632,718222.772,685829.86,146.2555,104.7232,35.9853,8640.622,6.155,8487.562,0.605,114.5698,18329.285,410.545,13.055,1.7719,0.8104,28.18,114.5,9688.663,5500.205,4188.458,6.9,77.214,74.5752,80.0523,63.2587,60.6598,66.0408,17.3222,15.6406,18.9793,7.6366,6.7061,8.3467,146.503,8.0413,18201.516,183.255,10.0382,32.7064,38.2584,26.5548,102.4194,130.5281,72.7644,40.5994,51.921,28.5453,89.7282,117.2605,60.8553,-153.056,-0.109
China,2017,1408296.413,1412354.727,722262.972,690091.755,147.1203,104.6619,36.2788,8211.24,5.814,8116.628,0.575,120.5473,18260.492,384.698,12.929,1.7953,0.8265,28.286,113.3,10049.252,5779.955,4269.296,7.115,77.2353,74.4481,80.2701,63.2086,60.4592,66.1903,17.2904,15.4875,19.0938,7.6047,6.6007,8.3935,136.486,7.4713,18142.382,170.302,9.3271,31.7894,37.5365,25.4097,101.9591,131.3653,70.867,40.4666,52.2602,27.8724,90.127,118.9755,59.7901,-94.625,-0.067
China,2018,1416413.041,1419008.956,725405.723,693603.233,147.8134,104.5851,36.621,5390.044,3.798,5191.83,0.366,85.41635,15357.072,322.778,10.822,1.5387,0.7072,28.485,113.9,9967.028,5665.064,4301.964,7.024,77.709,75.0345,80.5735,63.615,60.9742,66.432,17.565,15.8155,19.2778,7.7513,6.7907,8.4925,109.57,6.9578,15264.68,141.043,8.6903,29.9574,35.1219,24.2118,97.2746,124.5825,68.4632,38.4042,49.1214,26.9481,86.2811,113.0852,58.1451,-198.206,-0.14
China,2019,1421604.871,1423520.357,727474.139,696046.218,148.2834,104.5152,37.0262,4487.062,3.152,3830.973,0.269,85.41635,14615.866,305.409,10.267,1.4961,0.688,28.563,113.9,10128.804,5731.211,4397.592,7.115,77.9396,75.3033,80.7471,63.7854,61.1797,66.5498,17.6726,15.9317,19.3645,7.8015,6.8561,8.5307,95.477,6.4883,14533.957,124.101,8.1101,28.7247,33.5907,23.2973,94.7902,121.2262,66.9115,37.3202,47.5071,26.4096,84.5322,110.5061,57.2701,-656.091,-0.461
China,2020,1425435.844,1426106.093,728451.612,697654.481,148.5527,104.4144,37.4937,1432.084,1.004,1340.498,0.094,85.41635,11843.469,246.88,8.305,1.2357,0.576,28.87,111.2,10411.385,5959.604,4451.781,7.301,78.0191,75.245,80.9992,63.8096,61.0635,66.7505,17.7192,15.887,19.514,7.8276,6.8231,8.617,73.954,6.0516,11781.627,99.296,7.5716,27.8637,32.8397,22.3114,94.6928,122.8918,64.8829,37.3719,48.2891,25.6525,85.1147,112.8884,55.8697,-91.577,-0.064
China,2021,1426776.342,1426437.267,728193.406,698243.862,148.5872,104.2893,38.0066,-298.402,-0.209,-678.15,-0.048,85.41635,10461.124,219.352,7.334,1.1174,0.5233,28.944,110.4,10759.526,6046.016,4713.511,7.543,78.1166,75.4857,80.9125,63.8531,61.2483,66.6133,17.7286,15.9827,19.4182,7.7207,6.8445,8.399,60.185,5.6509,10410.165,82.068,7.0779,26.6163,31.2256,21.4607,93.7734,120.2702,65.7929,36.5714,46.5924,25.7895,84.8541,110.9578,57.3852,-379.749,-0.266
China,2022,1426098.192,1425179.569,727090.906,698088.664,148.4562,104.1545,38.5341,-1543.409,-1.083,-1837.246,-0.129,85.41635,9455.32,201.628,6.634,1.0344,0.4841,29.031,110.6,10998.729,6276.218,4722.512,7.717,78.2021,75.4673,81.1329,63.9184,61.2112,66.8115,17.7014,15.8316,19.5354,7.7688,6.7416,8.5897,51.091,5.3257,9411.944,72.37,6.8945,26.3182,30.9286,21.1427,90.6699,116.8742,62.9755,35.3446,44.9923,24.9289,81.9755,107.7522,54.8314,-293.846,-0.206
China,2023,1424260.946,1422584.933,725223.289,697361.644,148.1859,103.9953,39.0659,-2784.296,-1.957,-3352.027,-0.236,85.41635,8899.881,196.071,6.256,0.9995,0.4673,29.018,110.8,11684.177,6671.23,5012.947,8.213,77.9529,75.2005,80.9261,63.687,60.9711,66.6118,17.4537,15.5499,19.3441,7.517,6.4456,8.3966,45.791,5.1015,8860.792,70.824,7.1916,26.5276,31.2052,21.2565,91.193,117.3357,63.5171,35.0446,44.5008,24.8037,82.2617,107.8619,55.2715,-567.724,-0.399
China,2024,1420908.919,1419321.278,723023.723,696297.555,147.846,103.8383,39.5875,-2856.292,-2.012,-3175.283,-0.224,85.41635,8822.056,199.138,6.216,1.013,0.474,29.151,110.3,11678.348,6609.641,5068.706,8.228,78.0171,75.2493,80.9661,63.8509,61.1294,66.7389,17.7353,15.8978,19.5019,7.835,6.836,8.6084,56.348,6.3795,8773.457,73.163,7.9761,28.5101,33.7552,22.573,94.3987,121.7885,65.2486,37.2251,47.7375,25.7933,84.2918,111.0216,55.9733,-318.992,-0.225
India,2011,1252452.165,1261224.954,652190.186,609034.769,424.1992,107.0859,23.9493,17792.593,14.108,17545.579,1.391,49.8309,26681.991,2416.191,21.156,2.5322,1.1118,26.192,109.5,8889.398,4835.971,4053.427,7.048,67.6228,66.0941,69.2802,57.0574,55.2805,58.9988,14.4207,13.6627,15.1414,6.7413,6.5137,6.9281,1157.712,43.29,25728.698,1465.55,54.6862,108.1651,113.1257,102.89,234.809,265.948,200.7239,92.1635,110.5964,72.0764,183.2589,218.148,144.819,-247.017,-0.196
India,2012,1269997.744,1278674.502,661116.668,617557.834,430.0682,107.0534,24.2652,17552.458,13.727,17353.517,1.357,51.0794,26432.416,2355.038,20.672,2.4699,1.091,26.146,109.2,8879.958,4832.646,4047.312,6.945,68.0763,66.5438,69.735,57.2795,55.5221,59.1944,14.5586,13.8012,15.2772,6.8477,6.6099,7.0417,1088.642,41.0892,25527.736,1373.273,51.704,103.1443,108.3747,97.5512,229.8844,260.4047,196.5301,89.7798,107.9102,70.0393,181.0577,214.9636,143.7878,-198.935,-0.156
India,2013,1287351.261,1295829.511,669876.676,625952.834,435.8381,107.0171,24.5883,17107.869,13.202,16956.499,1.309,52.9524,25995.998,2117.068,20.061,2.3992,1.0654,26.228,109.1,8888.129,4835.967,4052.161,6.859,68.499,66.9697,70.1513,57.4863,55.7548,59.3683,14.687,13.9335,15.4009,6.9527,6.705,7.1536,1017.494,39.0014,25144.116,1281.925,48.9344,98.4234,103.8921,92.5474,225.3352,255.1216,192.832,87.4708,105.2628,68.1103,179.0446,211.8692,143.0432,-151.372,-0.117
India,2014,1304307.76,1312277.191,678266.11,634011.081,441.3701,106.9802,24.9252,16166.126,12.319,15938.863,1.215,57.0492,25050.538,1736.984,19.089,2.2935,1.0228,26.533,109.1,8884.412,4829.543,4054.87,6.77,68.9323,67.416,70.5671,57.6948,55.9988,59.5328,14.8051,14.0605,15.5106,7.0533,6.7981,7.2592,930.448,36.8847,24267.419,1172.69,46.0808,93.4965,99.1215,87.429,220.4242,249.3223,188.9398,84.9692,102.3177,66.1001,176.7614,208.3535,142.1892,-227.263,-0.173
India,2015,1320246.623,1328024.498,686298.736,641725.761,446.6665,106.9458,25.2708,16210.828,12.207,15555.749,1.171,59.1928,25147.251,1104.747,18.936,2.2887,1.0248,26.986,109.0,8936.423,4851.31,4085.113,6.729,69.326,67.8267,70.9399,57.882,56.2235,59.6751,14.9053,14.1731,15.5996,7.1438,6.8839,7.3523,877.6,34.9057,24397.289,1098.966,43.4698,88.9447,94.7078,82.7094,215.8511,243.8819,185.3525,82.5871,99.5247,64.1679,174.5922,205.0081,141.3712,-655.085,-0.493
India,2016,1335802.372,1343944.296,694417.091,649527.205,452.021,106.9112,25.6132,16202.614,12.056,16283.848,1.212,57.1904,25207.147,889.944,18.756,2.284,1.0272,27.466,108.8,9004.533,4879.168,4125.365,6.7,69.7091,68.2312,71.2975,58.0668,56.4486,59.8124,14.9947,14.2771,15.676,7.2253,6.9632,7.4347,832.164,33.0146,24490.706,1034.488,40.9777,84.5088,90.3488,78.1741,211.1568,238.3085,181.6507,80.1362,96.6315,62.1975,172.1963,201.4511,140.2995,81.248,0.06
India,2017,1352086.22,1359657.4,702419.096,657238.304,457.3059,106.8743,25.9609,15393.993,11.322,15142.36,1.114,62.2215,24466.744,937.068,17.995,2.1934,0.9912,27.535,108.6,9072.751,4907.555,4165.196,6.673,70.0676,68.6103,71.6324,58.2409,56.6598,59.9442,15.0725,14.3696,15.7411,7.2962,7.0344,7.5046,768.099,31.2391,23804.081,955.501,38.6664,80.3705,86.2561,73.9734,206.5762,232.9597,177.9312,77.7768,93.8716,60.2697,169.7408,197.9863,138.9882,-251.642,-0.185
India,2018,1367228.58,1374659.064,710050.158,664608.906,462.3516,106.8373,26.3131,15450.757,11.24,14860.968,1.081,64.1209,24620.205,941.198,17.91,2.1843,0.9918,27.534,108.4,9169.448,4953.379,4216.068,6.67,70.4152,68.9732,71.9635,58.4137,56.8622,60.0837,15.1427,14.4526,15.801,7.3568,7.0968,7.5632,727.372,29.5615,23985.007,899.927,36.486,76.4234,82.3402,69.9815,201.8932,227.6962,173.896,75.4459,91.2007,58.3016,167.0674,194.523,137.2065,-589.794,-0.429
India,2019,1382089.548,1389030.312,717351.064,671679.248,467.1852,106.7996,26.6678,14860.501,10.698,13881.528,0.999,69.3841,24124.983,923.694,17.368,2.1203,0.9669,27.535,108.2,9264.482,5001.016,4263.466,6.67,70.7463,69.3121,72.2871,58.5844,57.0534,60.2324,15.2056,14.5253,15.857,7.405,7.1492,7.6076,677.733,28.0056,23531.725,837.527,34.4876,72.7609,78.6865,66.3007,197.1832,222.6379,169.5737,73.1875,88.6599,56.3419,164.1912,191.1199,134.9258,-978.969,-0.705
India,2020,1395971.076,1402617.695,724175.468,678442.228,471.7552,106.7409,27.0239,13367.053,9.53,13293.239,0.948,73.1168,23485.339,899.984,16.744,2.0468,0.9375,27.534,107.9,10118.286,5549.728,4568.558,7.214,70.1563,68.5289,71.938,57.8076,56.088,59.6925,14.4804,13.5855,15.3694,6.9153,6.5098,7.2519,625.665,26.5391,22934.934,774.069,32.6054,67.8277,73.2842,61.8775,201.7262,229.2219,171.8916,71.4694,86.6108,54.993,170.8218,199.7139,139.4246,-73.806,-0.053
India,2021,1409264.315,1414203.896,729924.103,684279.793,475.652,106.6704,27.3478,10228.068,7.232,9879.162,0.699,99.1627,23321.853,887.495,16.491,2.0136,0.9246,27.534,107.7,13093.785,7025.169,6068.616,9.259,67.2823,65.8699,68.8345,54.6772,53.1923,56.3103,12.472,11.8566,13.0769,5.9788,5.6581,6.2413,587.418,25.1585,22800.952,724.075,30.8409,73.1946,80.1748,65.5663,247.119,277.8585,213.4904,92.416,111.3958,71.6554,219.6436,251.7358,184.4982,-348.916,-0.247
India,2022,1419143.477,1425423.212,735531.456,689891.756,479.4255,106.6155,27.6842,13912.947,9.76,12559.471,0.881,78.6773,23286.125,874.059,16.336,1.9936,0.9198,27.534,107.5,9373.178,5065.907,4307.271,6.576,71.6984,70.2368,73.2706,59.1107,57.5836,60.7548,15.3828,14.7061,16.0351,7.5037,7.2619,7.6933,555.885,23.8624,22790.367,682.13,29.1967,62.9705,68.8949,56.5012,182.6147,208.2294,154.8595,66.7853,81.7314,50.4922,154.4677,181.1362,125.543,-1353.478,-0.95
India,2023,1431702.948,1438069.596,741883.264,696186.332,483.679,106.5639,28.0598,13712.481,9.535,12733.296,0.885,78.3217,23219.489,858.72,16.146,1.9754,0.9146,27.534,107.3,9507.008,5145.281,4361.727,6.611,72.0026,70.5225,73.5977,59.2878,57.7509,60.9451,15.4422,14.7612,16.102,7.528,7.2912,7.7151,525.425,22.6186,22748.701,642.598,27.6201,60.0451,65.9595,53.5844,177.8018,203.6745,149.7593,64.7958,79.6238,48.6208,151.1017,177.9135,122.0207,-979.179,-0.681
India,2024,1444436.244,1450935.791,748323.427,702612.364,488.0064,106.5059,28.4413,13629.928,9.394,12999.094,0.896,77.3602,23186.978,790.988,15.981,1.9622,0.9071,27.608,107.1,9557.05,5186.874,4370.177,6.587,72.2353,70.729,73.8556,59.6131,58.0466,61.2992,15.7803,15.0573,16.4798,7.6218,7.344,7.8449,524.88,22.6273,22716.683,654.575,28.1953,63.4388,69.2567,57.0832,177.1183,202.4438,149.6896,67.1545,81.6418,51.3403,149.3457,175.63,120.8579,-630.83,-0.435
Germany,2011,80803.434,80857.874,39432.27,41425.604,231.9769,95.1882,43.6316,-186.411,-2.305,108.879,0.135,85.41635,668.838,17.193,8.272,1.3849,0.6691,30.451,105.3,855.249,409.709,445.54,10.577,80.3549,77.7684,82.8273,65.7641,63.1989,68.2104,19.3017,17.5144,20.8037,8.6884,7.723,9.2302,2.411,3.5875,666.78,2.898,4.2763,16.8941,21.5196,12.1518,80.7996,103.758,57.4028,28.6287,37.2293,19.8111,75.982,98.6488,52.9184,295.282,3.652
Germany,2012,80912.313,80916.39,39546.791,41369.599,232.1448,95.5938,44.0758,-190.981,-2.361,8.155,0.01,85.41635,681.427,16.359,8.421,1.4049,0.6789,30.56,105.4,872.408,418.187,454.221,10.782,80.5017,77.9669,82.9415,65.8759,63.3628,68.2894,19.3158,17.5771,20.796,8.6367,7.6961,9.1903,2.245,3.3017,679.498,2.68,3.9212,15.7751,20.1106,11.3122,77.9249,100.2207,55.1761,27.4337,35.7262,18.9188,73.5177,95.5066,51.1173,199.143,2.461
Germany,2013,80920.468,81041.582,39699.059,41342.522,232.504,96.0248,44.4874,-220.164,-2.716,242.227,0.299,85.41635,679.66,15.419,8.387,1.4149,0.6837,30.705,105.3,899.824,433.46,466.364,11.103,80.454,77.9832,82.8579,65.8304,63.3821,68.2073,19.263,17.5567,20.7417,8.6008,7.6866,9.1586,2.246,3.3042,677.735,2.681,3.9437,15.8412,19.8065,11.7374,77.9504,99.4194,55.8563,27.192,34.9641,19.1542,73.5159,94.6832,51.7623,462.384,5.706
Germany,2014,81162.695,81376.08,39924.826,41451.255,233.4636,96.3175,44.733,-165.562,-2.035,426.77,0.524,132.28,710.76,15.528,8.734,1.4692,0.7101,30.82,105.4,876.322,426.36,449.962,10.769,80.9056,78.4242,83.3188,66.2707,63.8093,68.6598,19.6303,17.9208,21.112,8.8866,7.9563,9.4645,2.305,3.2579,708.775,2.71,3.8463,15.2774,19.4244,10.9662,74.9657,95.7015,53.5497,26.1492,34.0276,17.9863,70.6753,91.1273,49.5788,592.338,7.279
Germany,2015,81589.465,82077.55,40401.847,41675.704,235.4761,96.9434,44.8125,-199.118,-2.425,976.171,1.189,58.2967,732.501,16.04,8.925,1.5007,0.725,30.87,105.3,931.619,453.523,478.096,11.35,80.5658,78.1259,82.9717,65.9374,63.5064,68.3317,19.332,17.6546,20.8177,8.6569,7.7719,9.2307,2.401,3.2851,730.438,2.858,3.9343,15.8366,19.8167,11.6778,76.0378,96.9849,54.3441,26.821,34.8001,18.536,71.6587,92.4624,50.1299,1175.283,14.319
Germany,2016,82565.636,82760.102,40841.79,41918.312,237.4343,97.4319,44.8162,-128.551,-1.553,388.933,0.47,85.41635,788.207,18.365,9.524,1.5911,0.7698,30.86,105.1,916.758,452.167,464.591,11.077,80.8371,78.3809,83.2635,66.2343,63.7999,68.6346,19.5862,17.8747,21.1062,8.9074,7.991,9.5106,2.753,3.5165,785.83,3.212,4.1412,15.7543,19.7864,11.4601,74.8155,94.9409,53.8615,26.3133,33.9406,18.3103,70.1432,89.9632,49.5313,517.48,6.253
