country,total_outbound,total_inbound
Afghanistan,512375.2761,0
Africa,213048,0
Albania,1088437.032,0
Algeria,1581913.089,0
Angola,191630.2121,0
Argentina,658964.4612,0
Australia,13221528.08,19616672
Austria,208749.9675,0
Bangladesh,596550.4044,0
Belarus,288381.3629,0
Belgium,395121.4166,0
Bolivia,288095.5371,0
Bosnia and Herzegovina,506180.044,0
Brazil,1428356.99,0
Bulgaria,6233893.536,5602067
Cambodia,318014.7822,0
Cameroon,250587.9972,0
Canada,22360964.92,30322645
Chile,301624.0722,0
China,6196332.004,0
Colombia,34687793.81,34180812
Croatia,243383.9998,0
Cuba,1561974.308,0
Czech Republic,8399723.949,8832407
C̫te d'Ivoire,227028.5701,0
Democratic Republic of the Congo,219178.9116,0
Dominican Republic,1443607.188,0
Ecuador,994043.5572,0
Egypt,558738.8911,0
El Salvador,1490931.135,0
Eritrea,190860.6686,0
Ethiopia,392807.1339,0
FJI,199270.6333,0
FYUG,201319.0921,0
Finland,218762.7421,0
France,49068713.7,55863759.89
Georgia,201131.8748,0
Germany,2889939.692,0
Ghana,306208.558,0
Greece,8357585.674,9065549
Guatemala,1061785.096,0
Guyana,373074.9623,0
Haiti,895478.6689,0
Honduras,809023.2658,0
Hungary,7921589.649,8210402
India,4835292.51,0
Indonesia,290155.405,0
Iran,1004606.433,0
Iraq,862622.0109,0
Ireland,291227.8728,0
Israel,219152.3361,0
Italy,47167320.4,51540338
Jamaica,947005.5913,0
Japan,106655581.2,108258569
Kenya,222572.2476,0
Laos,244735.1338,0
Lebanon,450608.1208,0
Lithuania,2438572.506,2393600
Malaysia,284836.5311,0
Mexico,104237064.2,93985354
Moldova,384847.1397,0
Morocco,2560558.26,0
Myanmar,204654.3208,0
Nepal,422675.0775,0
Netherlands,459322.483,0
New Zealand,3111815.555,3767241
Nicaragua,332738.9651,0
Nigeria,672655.1813,0
North Korea,45308711.51,0
North Macedonia,311679.4393,0
Other,18815856.6,0
Pakistan,1065972.351,0
Peru,929761.0224,0
Philippines,3666841.834,0
Poland,31660264.26,31262060
Portugal,9321531.115,9011878
Puerto Rico,1725461.214,0
Romania,2202905.454,0
Russia,1325705.96,0
Senegal,391214.8489,0
Serbia,399255.455,0
Slovakia,4764956.31,4581860
Somalia,292036.8839,0
South Africa,461831.1699,0
Spain,34424539.39,40687137
Sri Lanka,526804.3739,0
Sweden,6853120.402,8539410
Switzerland,5241696.636,7243554.307
Syria,729149.7139,0
Taiwan,478602.78,0
Thailand,664281.5017,0
Trinidad and Tobago,303413.6583,0
Tunisia,595242.7657,0
Turkey,62636553.81,65701874
Ukraine,1670920.82,0
United Kingdom,3363460.886,0
United States,221744976.5,268390685
Unknown,2277462.136,0
Uzbekistan,265749.1203,0
Venezuela,1581056.468,0
Vietnam,2525649.395,0
Denmark,0,4865995
Estonia,0,1114057
LUX,0,541367
Latvia,0,1590245
Norway,0,4469784
Slovenia,0,1791178
South Korea,0,45151490
